Name/Client,Industry,Date Uploaded,Portal Demo Link,Onedrive Demo Link,Script File,Solution,Use Case Explained,,Client Problem,Instalily AI Capabilities,Benefit to Client,Portal Demo Link,Demo link 
John Hardy,Retail,6/24/2025,John Hardy Clienteling Agent Demo,John Hardy Clienteling Agent Demo,Script Clienteling Agent Demo,,,,"John Hardy faces the challenge of delivering personalized, emotionally rich client experiences across digital channels without sacrificing the luxury and authenticity of in-store service.","This demo showcases InstaLILY’s Clienteling Agent—an AI system powered by specialized InstaWorkers™ that crafts brand-aligned messages, manages conversation states, and seamlessly transitions between AI and human associates.","By adopting this solution, John Hardy can scale bespoke client engagement, increase loyalty, and drive sales while preserving the intimacy and elegance of its brand.",John Hardy Clienteling Agent Demo,https://portal.instalily.ai/demo/a80dd961-125c-49a4-9956-f8f5cad6ad3c
Ryson International,Consumer Goods,6/20/2025,Ryson International Demo,Ryson International Demo,Ryson International Demo,,,,"Without a CRM, sales managers miss key follow-ups on high-value quotes, risking lost deals.","LILY’s InstaWorkers scan unstructured data, detect engagement gaps, and generate personalized outreach based on behavioral patterns.","Ryson sales teams close more deals by converting overlooked quotes into timely, strategic action—without manual digging.",Ryson International Demo,https://portal.instalily.ai/demo/b4bd0f6d-b7f3-40e6-adcd-52f55cd33c3a
Four Seasons Produce,Supply & Distribution,6/19/2025,Four Seasons Produce Demo,Four Seasons Produce Demo,Four Seasons Produce Demo,,,,Operations managers struggle to catch cold-chain breaches and supplier issues before they cause spoilage or stockouts.,"LILY's InstaWorkers proactively surface temperature breaches, inventory gaps, and suggest corrective actions across systems in real time.","Four Seasons transitions from reactive firefighting to predictive, coordinated logistics—reducing waste and improving operational continuity.",Four Seasons Produce Demo,https://portal.instalily.ai/demo/e66329a0-710c-44f0-b309-e8b342bfc7b2
ThermoFisher Scientific,Supply & Distribution,6/19/2025,ThermoFisher Scientific Demo,ThermoFisher Scientific Demo,ThermoFisher Scientific,,,,"Supply chain leaders are stuck chasing fragmented updates across systems, delaying response to supplier issues.","LILY assembles specialized InstaWorkers to unify data, predict disruptions, and coordinate supplier collaboration in one intelligent workflow.","Thermo Fisher gains a proactive, AI-powered supplier ecosystem—reducing risk, accelerating compliance, and improving partner performance.",ThermoFisher Scientific Demo,https://portal.instalily.ai/demo/a83a3d75-59c1-4460-a499-0dd3e23286be
Cassioli,Industrial Manufacturing,6/19/2025,Cassioli,Cassioli Demo,Cassioli Demo Script,,,,"Key accounts go quiet without warning, leaving revenue at risk and reps scrambling to re-engage.","LILY detects declining activity, analyzes account signals, and delivers tailored actions and communications to revive engagement.","Cassioli sales teams stay ahead of churn and protect large accounts through timely, insight-driven re-engagement.",Cassioli,https://portal.instalily.ai/demo/e4809bc5-60c8-4873-a716-7e459a7f60c6
ITW  2,Industrial Manufacturing,6/19/2025,ITW Demo V2,ITW Demo V2,ITW B2B Sales AI Agents Demo,,,,"Reps miss early signs of distributor disengagement, leading to parts stockouts and lost revenue.","LILY surfaces SKU declines, unresolved issues, and automates personalized re-engagement with embedded visuals and CTAs.","Hobart boosts distributor performance and margin protection through early, data-driven interventions—scalable across ITW brands.",ITW Demo V2,https://portal.instalily.ai/demo/8c0a8095-87b9-4039-a82d-8add54aaf07b
Nissan 2,Industrial Manufacturing,6/19/2025,Nissan 2 Demo,Nissan 2 Demo,Nissan Demo Script,,,,"Car buyers and owners experience fragmented, slow, and impersonal journeys from consideration to service.","LILY uses multi-modal agents to personalize discovery, sync leads with inventory, and manage service touchpoints across the vehicle lifecycle.","Nissan improves conversion, reduces cost per lead, and builds long-term loyalty through seamless, AI-powered engagement.",Nissan 2 Demo,https://portal.instalily.ai/demo/7321510c-65e7-420f-9b66-a57576a9b128
Apex Tool Group,Supply & Distribution,6/18/2025,Apex Tool Group,Apex Tool Group,Apex Tool Group Demo Script,,,,Support reps waste time chasing part numbers and engineering confirmations—slowing service and increasing error risk.,"LILY identifies parts via product master and historical service data, builds quotes, and suggests related SKUs instantly.","Apex delivers expert-level aftermarket support in seconds—boosting accuracy, speed, and customer satisfaction without more headcount.",Apex Tool Group,https://portal.instalily.ai/demo/8c0a8095-87b9-4039-a82d-8add54aaf07b%2Csince%3D%2540lastPublished%2Cinspect%3Dsanity%252Fstructure%252Fhistory
Dairy Industries,Consumer Goods,6/18/2025,Dairy Industries Demo,Dairy Industries Demo,Dairy Industries Demo,,,,"Sales leaders struggle to track distributor engagement across regions, leading to lost shelf space and missed revenue.","LILY’s InstaWorkers detect order gaps, buyer changes, and engagement drop-offs—then craft tailored follow-ups with sales support materials.",Dairy Industries increases distributor coverage and product velocity by proactively managing risk and reactivating key accounts.,Dairy Industries Demo,https://portal.instalily.ai/demo/ef887ecb-5283-48ba-871c-4ac9874055e8
Frontline Road Safety Group Demo,Construction,6/18/2025,Frontline Road Safety Group Demo,Frontline Road Safety Group Demo,Frontline Road Safety Group Demo Script,,,,Sales reps miss early signs of customer churn and fail to act before revenue is lost.,"LILY identifies at-risk accounts, uncovers drivers of disengagement, and delivers timely, actionable outreach recommendations.","Frontline sales teams reduce churn and convert risk into revenue through smart, proactive follow-ups.",Frontline Road Safety Group Demo,https://portal.instalily.ai/demo/a86f77bc-e0b5-412c-81f6-9d611ade65ef
Aggreko,Supply & Distribution,6/17/2025,Aggreko Demo,Aggreko Demo,Aggreko Demo,,,,"Sales reps waste time guessing which solar or storage projects need attention, slowing deal velocity.","LILY flags stalled deals, maps load trends, and assembles revised proposals and messages based on buyer signals and site data.",Aggreko closes energy deals faster by aligning sales actions with real-time customer intent and technical insight.,Aggreko Demo,https://portal.instalily.ai/demo/c7b7f834-2afe-469d-a0eb-b8676e5d588d
CheapoAir,Business (General),6/17/2025,CheapoAir Demo,CheapoAir Demo,CheapoAir Demo + UI,,,,"Customers face a fragmented, impersonal travel booking experience that requires repetitive manual inputs and lacks personalization.","InstaLILY’s autonomous InstaWorkers orchestrate seamless, real-time booking and personalized itinerary management across flights, hotels, and rentals with memory of past preferences.","CheapoAir boosts bookings, increases margins, reduces support volume, and transforms into a trusted, full-service travel companion platform.",CheapoAir Demo,https://portal.instalily.ai/demo/fcd6d493-3849-41b4-a251-49dfb337df7e
Nissan,Industrial Manufacturing,6/17/2025,Nissan Demo,Nissan Demo,Nissan Demo Script,,,,"Car shoppers and owners struggle with disconnected, slow, and inconsistent experiences throughout vehicle consideration, purchase, and service.","InstaLILY’s integrated InstaWorkers guide personalized vehicle discovery, synchronize inventory, create leads in CRM, and automate timely service reminders across channels.","Nissan increases sales conversion, lowers operational costs, and deepens customer loyalty by delivering a smooth, intelligent journey.",Nissan Demo,https://portal.instalily.ai/demo/dd9c258f-3281-4911-9e4a-da7cbc71b9c6
Pirtek/Salem Capitals,Industrial Manufacturing,6/16/2025,Pirtek Demo,Pirtek Demo,Salem/Pirtek Research/Script,,,,"Technical support specialists waste time using multiple disconnected tools to identify correct hydraulic hose assemblies, causing delays and errors.","InstaLILY’s InstaWorkers rapidly parse technical specs, analyze historical data, and cross-reference inventory and trends to deliver accurate hose recommendations.","Pirtek dramatically reduces identification time, cuts costly errors, and accelerates service response to win more business.",Pirtek Demo,https://portal.instalily.ai/demo/f59a287b-dfc6-4750-8707-5f4cbf1254ba
ITW,Industrial Manufacturing,6/13/2025,ITW,ITW Demo,ITW B2B Sales AI Agents Demo,,,,"Sales reps lack real-time insight into distributor order drops and unresolved service issues, causing missed opportunities and customer dissatisfaction.","InstaLILY’s InstaWorkers analyze multi-source data, diagnose root causes, and auto-generate personalized next-step action plans and communications.","Hobart proactively prevents margin loss and strengthens distributor partnerships through faster, data-driven intervention.",ITW,https://portal.instalily.ai/demo/91a32b67-c676-480b-ba86-62c0b0b449a1
Kichler Lighting,Procurement,6/13/2025,Kichler Lighting Demo,Kichler Lighting Demo,Kichler Lighting Demo,,,,High return rates and support tickets create showroom confusion and increased costs for distributors without early detection.,"InstaLILY’s InstaWorkers detect SKU-level sales and return anomalies, identify product mismatches, and generate targeted outreach with updated sales tools.","Kichler reduces returns, improves distributor confidence, and maintains brand reputation by enabling early, tailored engagement.",Kichler Lighting Demo,https://portal.instalily.ai/demo/7d63c5f6-a7bf-46af-ab88-2de83a10d428
Tecfen Medical,Healthcare,6/12/2025,Tecfen Medical Demo,Tecfen Medical Demo,Tecfen Demo Script - VSA,,,,"Procurement managers must navigate multiple documents, spreadsheets, and emails to keep track of inventory, resulting in costly last-minute orders, rush shipping fees, stockouts, and delays that hurt revenue","Lily centralizes ERP systems, supplier databases, business intelligence, and inventory systems, allowing procurement managers to receive real-time guidance on next steps and take actions ","Lily flags low inventory, late deliveries, and helps keep supplier accountable by automating the creation and sending of documents/messages. Lily additionally helps the procurement manager draft a supplier performance report, identify insights and problems, suggests actions, and shifts the managers focus to solving problems and driving revenue growth",Tecfen Medical Demo,https://portal.instalily.ai/demo/92340914-f24d-4cb0-8e51-49110d3af3e4
ADT,Consumer Goods,6/11/2025,ADT,ADT,ADT Researh/Script,,,,"Customers face complicated, slow, and fragmented processes when researching, purchasing, and managing security products and installations.","InstaLILY’s InstaWorkers coordinate end-to-end workflows including product recommendation, inventory checks, order processing, support, and scheduling.","ADT enhances customer satisfaction, boosts revenue, and improves operational efficiency through seamless, personalized self-service.",ADT,https://portal.instalily.ai/demo/a993500f-2bc0-404e-8a40-7a5e3152292f
Project 17,Healthcare,6/9/2025,Project 17,Project 17,6.4.25 Ena - Project17 Script,,,,"Clinicians spend excessive time searching through outdated, fragmented, and non-standardized clinical protocols at the point of care.","InstaLILY’s InstaWorkers synthesize latest research, validate protocols via expert panels, and adapt guidelines in real time to local resources and regulations.","Project17 enables faster, safer, evidence-based clinical decisions, improving patient care and clinician confidence.",Project 17,https://portal.instalily.ai/demo/aaf12332-4b06-41ca-85ab-2b8167765b23
WWEX,Shipping & logistics,6/9/2025,WWEX ,WWEX,6/5/25 wwex script,,,,"Account managers spend hours manually identifying at-risk customers and lack clear, actionable insights to prevent turnover.","InstaLILY’s InstaWorkers integrate real-time shipment, billing, and support data to detect churn signals and recommend prioritized next steps with tailored outreach.","Worldwide Express reduces client attrition and increases revenue by empowering account managers with proactive, data-driven relationship management.",WWEX ,https://portal.instalily.ai/demo/05955648-f982-4311-9559-61554d96d4b8
Primo Brands,Supply & Distribution,6/6/2025,Primo Brands Demo,Primo Brands Demo,New Primo Brands Demo Script,,,,"Procurement teams struggle to source compliant, cost-effective suppliers quickly while managing sustainability and regional constraints.","InstaLILY’s InstaWorkers automate supplier ranking, inventory forecasting, eRFQ issuance, bid evaluation, and compliance reporting within Coupa.","Primo Brands accelerates sourcing cycles, ensures compliance, and maximizes savings while enhancing transparency and sustainability.",Primo Brands Demo,https://portal.instalily.ai/demo/1cbb1fcc-d812-4e68-8579-7e38aa1d18b3
Kedrion,Supply & Distribution,6/5/2025,Kedrion Demo V2,Kedrion Demo V2,Kedrion Bio Demo Script,,,,Sales reps waste hours manually consolidating fragmented data and miss timely insights to prioritize high-impact actions.,"InstaLILY’s InstaWorkers integrate CRM, prescribing data, and BI tools to surface critical volume changes, compliance checks, and actionable sales strategies with compliant messaging.","Kedrion empowers reps to act faster and smarter, improving territory performance and regaining hours daily for strategic selling.",Kedrion Demo V2,https://portal.instalily.ai/demo/f8905948-d3b4-4c8c-98b9-984a669827d2
PartsSource,Parts Procurement,6/3/2025,PartsSource Demo,PartsSource Demo,PartsSource Use Case–BAIN,,,,"It can be difficult for marketing managers to find and analyze data across multiple spreadsheets and platforms, leading to time being allocated to researching rather than analyzing data","Marketing Managers request a marketing performance deck in a Slack channel. The agents centralize information from Google Analytics, Microsoft Office 365, Salesforce Commerce Cloud, and Salesforce Marketing Cloud to retrieve information, flag discrepencies in the data, and checks the integrity of the source. The Analysis Agent highlights key details and works with the Composing Agent to craft a clear, organized slide deck",Lilly allows marketing managers to reallocate their time from researching data to analyzing it and taking strategic decisions because the marketing decks can be automatically created and distributed within the team,PartsSource Demo,https://portal.instalily.ai/demo/32c8e9fd-203e-4316-b422-c9bd26be375f
DSG,HVAC,6/2/2025,DSG Supply Demo,DSG Supply Demo,DSG Supply Demo Script,,,,"Database Administrators use manual processes to analyze data, optimize queries, and prevent failures. The process is tedious, is prone to performance bottlenecks, security risks, and downtime","CoSailor monitors postgres SQL environments, identifies anomalies, analyzes patterns, recommends strategies for faster distribution, ensure compliance, and updates performance","Lily provides data insights in the form of dashboards, summaries, emails, or a podcast, and allows the database administrator to take a proactive approach to optimize performance",DSG Supply Demo,https://portal.instalily.ai/demo/f22deb2f-e58e-4788-a809-4f2f3dc51dc2
QXO Beacon,Construction,5/30/2025,QXO/Beacon Demo,Beacon QXO Demo,Beacon/QXO Generic MDM Agent Script,,,,"AthenaHealth has a wide range of customer bases and faces difficulties engaging customers, reslting in generic outreach, fragmented systems, and few predictive insights","Lily helps marketing managers segment their audience, predict trends, and personalize email campaigns for each customer segment; generates a draft, and awaits the marketing manager's approval to launch; Lily also helps track customer engagement - meetings scheduled and click through rates","Lily reduces manual processes, leads to higher customer engagement, accelerates campaign execution, and leads conversion rates",QXO/Beacon Demo,https://portal.instalily.ai/demo/ef491664-6108-4707-b7d2-25ccca0a4a63
Radwell,Healthcare,5/30/2025,Radwell Demo 2,Radwell Demo 2,CVC - Radwell International Research/Script,,,,Inside sales reps at Radwell face delays and inefficiencies when handling vague or urgent RFQs due to manual quoting processes and inconsistent data.,"LILY uses a suite of AI agents to triage incoming RFQs, resolve incomplete data using MDM logic, identify parts from text or images, and draft quotes with upsell suggestions.","Radwell increases quote speed, reduces manual workload, and scales sales volume without needing to scale headcount.",Radwell Demo 2,https://portal.instalily.ai/demo/78212cf1-6219-42de-9f10-1aff8f1c2409
EECO,Parts Procurement,5/29/2025,EECO Demo,EECO Demo,EECO Demo,Client Acquisition & Engagement,,,"EECO Sales Managers spend too much time analyzing service and purchasing data manually, delaying opportunities to proactively guide system modernization.","LILY’s AI agents monitor install base signals, detect patterns like service frequency or order drops, and generate personalized modernization plans and outreach messages.","EECO empowers managers to lead smarter client conversations, drive modernization sales, and turn account insight into immediate, revenue-generating action.",EECO Demo,https://portal.instalily.ai/demo/dc522bb9-8ad4-4c40-ae45-498607e21ddf
Kedrion Bio,Supply & Distribution,5/29/2025,Kedrion Bio Demo,Kedrion Demo V1,Kedrion Bio Demo Script,,,,"Underwriters spends most of their time gathering data, drafting reports, and coordinating reviews across multiple systems, which can be time consuming and inefficient","Lily IQ helps underwriters make proactive decisions, be efficient, maintain consistency, and continuously learns; Lily finds insights about the reinsurer, allows the underwriter to refine the already drafted document, and proposes a referral draft; Lily IQ edits its referral draft based on past manual edits the underwriter makes and sends the the document to a senior for approval","Lily transforms the manual underwriting process into an automatic process that provides AI-driven insights, drafts referrals, efficiently shares it with key stakeholders, and continuously learns, allowing underwriters to partake in proactive decision-making",Kedrion Bio Demo,https://portal.instalily.ai/demo/41d49a1c-06e8-4d81-b227-38822f82970d
John Hardy,Retail,5/23/2025,John Hardy Demo,John Hardy Demo,John Hardy DEMO SCRIPT for VSA/ SLACK ,Client Acquisition & Engagement,,,Customers are accusomted to endlessly scrolling websites to find the product/gifts that best fits their needs,"Lily understands the customer's request, asks follow-up questions and tailors the search experience to their specific needs; the agents personalize the experience based on her responses to questions and past preferences, and streamlines the shopping experience up and through the checkout process","Customers can finish shopping in minutes, effortlessly, and confidently purchase the product for their needs, enhancing customer satisfaction and experience",John Hardy Demo,https://portal.instalily.ai/demo/72788915-bbf4-413a-866c-4891f2addd71
Capgemini,Business (General),5/20/2025,Capgemini Demo,Capgemini Demo,Demo Script / Research - Capgemini,,,,"Manual workflows result in payment delays, errors, and approval bottlenecks",Lily helps centralize information across the AP team's several databases. The VSA is able to collect information and draft invoices. Lily then sends it to the right people for approval. The agents check the information and flags potential errors. ,"Asahi's AP Team is able to be proactive, accelerate approvals, and become more efficient. ",Capgemini Demo,https://portal.instalily.ai/demo/7caccb1b-59d2-4d89-8bea-9e0f5912acfc
CVC & Radwell ,Parts Procurement,5/20/2025,CVC & Radwell Demo,CVC & Radwell Demo,CVC - Radwell International Research/Script,,,,"Sales representatives spend hours looking at data, collecting information, and use manual processes to determine where to do additional outreach, leading to missed opportunities and longer sales cycles","Lily integrates with CRMs, RCMs, and internal data systems to centralize information, drive insights, flaging warning signs, recommending actions, drafting messages, and motivate the sales representative to take action","Lily's agents are able to accelerate deals cycles, strengthen pipeline performance, and drive revenue growth",CVC & Radwell Demo,https://portal.instalily.ai/demo/709aa587-c3e5-484a-88f7-d032f67f507d
Pelican Bio Thermal ,Supply & Distribution,5/20/2025,Pelican Bio Thermal Demo,Pelican Bio Thermal Demo,Pelican BioThermal Demo Script / Research,,,,"Supply chain managers tend to manage several supplier relationships, navigate cost trade-offs, and ensure sustainability compliance , which can lead to erors","AI Agents look over suppliers and ranks the suppliers that best meet the supply chain managers' demands, analyzing costs and tracking the suppliers carbon footprint ","Lily continuously learns from the supply chain managers' demands and interests, meets the company's cost saving and environmental friendly initiatives",Pelican Bio Thermal Demo,https://portal.instalily.ai/demo/bc2e939d-714c-437a-a967-2422e5c088be
Reece,HVAC,5/20/2025,Reece Demo,Reece Demo,Reece Demo,,,,Operations Managers require several materials and is overwhelmed by the options available online,"The AI Agent smartsearch features helps match each client's demand to the correct product, and offers tailored set for the particular use case and identifies opportunities for upselling","Lily helps clients find fast, personalized recommendations, boost customer satisfaction, and helps drive higher revenue",Reece Demo,https://portal.instalily.ai/demo/7caccb1b-59d2-4d89-8bea-9e0f5912acfc
